# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.10888889E+03    0.18038710E+01    0.60247137E+01    0.78285847E+01    0.27417916E+02    0.29941191E+00    0.28552807E+00    0.18312934E+02    0.17847033E+02    0.20835118E+02
    0.11094444E+03    0.18156050E+01    0.60890913E+01    0.79046963E+01    0.27925816E+02    0.29817339E+00    0.28306053E+00    0.18508618E+02    0.18020547E+02    0.21221076E+02
    0.11300000E+03    0.18276825E+01    0.61570650E+01    0.79847475E+01    0.28468034E+02    0.29684314E+00    0.28048117E+00    0.18715233E+02    0.18203042E+02    0.21633112E+02
    0.11505556E+03    0.18401386E+01    0.62288737E+01    0.80690123E+01    0.29046556E+02    0.29542076E+00    0.27779583E+00    0.18933506E+02    0.18395142E+02    0.22072736E+02
    0.11711111E+03    0.18530088E+01    0.63047619E+01    0.81577707E+01    0.29663395E+02    0.29390623E+00    0.27501136E+00    0.19164178E+02    0.18597487E+02    0.22541478E+02
    0.11916667E+03    0.18663293E+01    0.63849795E+01    0.82513088E+01    0.30320602E+02    0.29229997E+00    0.27213539E+00    0.19408010E+02    0.18810728E+02    0.23040894E+02
    0.12122222E+03    0.18801369E+01    0.64697815E+01    0.83499184E+01    0.31020231E+02    0.29060285E+00    0.26917654E+00    0.19665778E+02    0.19035531E+02    0.23572549E+02
    0.12327778E+03    0.18944690E+01    0.65594277E+01    0.84538967E+01    0.31764412E+02    0.28881620E+00    0.26614365E+00    0.19938269E+02    0.19272574E+02    0.24138059E+02
    0.12533333E+03    0.19093635E+01    0.66541825E+01    0.85635461E+01    0.32555192E+02    0.28694186E+00    0.26304701E+00    0.20226290E+02    0.19522544E+02    0.24738980E+02
    0.12738889E+03    0.19248591E+01    0.67543140E+01    0.86791731E+01    0.33394715E+02    0.28498218E+00    0.25989661E+00    0.20530653E+02    0.19786142E+02    0.25376940E+02
